Data,Empresa,RL,LL,EBITDA,Data_Publicacao,Preco_Abertura,Preco_Fechamento,LPA,ROA,ROE,MEB,CRESC_RL_12M,CRESC_LL_12M,CRESC_EBITDA_12M,CAPEX,FCO,FCF,Divida_Liquida,PL,Divida_Bruta,AT,DVA_Despesas_Fin,PC,PNC,Outros_PC,LUB,Consolidado,Convencao,Moeda,Data_Demonstracao,Meses,Data_Analise
2019-12-31,,,,,,115651,118573,,,,,,,,,,,,,,,,,,,,,,,2019-12-31,,2020-01-02
2019-09-30,,,,,,104745,104053,,,,,,,,,,,,,,,,,,,,,,,2019-09-30,,2019-10-01
2019-06-30,,,,,,100973,101339,,,,,,,,,,,,,,,,,,,,,,,2019-06-30,,2019-07-01
2019-03-31,,,,,,95422,96054,,,,,,,,,,,,,,,,,,,,,,,2019-03-31,,2019-04-01
2018-12-31,,,,,,87887,91012,,,,,,,,,,,,,,,,,,,,,,,2018-12-31,,2019-01-02
2018-09-30,,,,,,79350,78623,,,,,,,,,,,,,,,,,,,,,,,2018-09-30,,2018-10-01
2018-06-30,,,,,,72762,72839,,,,,,,,,,,,,,,,,,,,,,,2018-06-30,,2018-07-02
2018-03-31,,,,,,85364,84666,,,,,,,,,,,,,,,,,,,,,,,2018-03-31,,2018-04-02
2017-12-31,,,,,,76402,77891,,,,,,,,,,,,,,,,,,,,,,,2017-12-31,,2018-01-02
2017-09-30,,,,,,74294,74359,,,,,,,,,,,,,,,,,,,,,,,2017-09-30,,2017-10-02
2017-06-30,,,,,,62900,63279,,,,,,,,,,,,,,,,,,,,,,,2017-06-30,,2017-07-03
2017-03-31,,,,,,64989,65211,,,,,,,,,,,,,,,,,,,,,,,2017-03-31,,2017-04-03
2016-12-31,,,,,,60227,59588,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,,2017-01-02
2016-09-30,,,,,,58370,59461,,,,,,,,,,,,,,,,,,,,,,,2016-09-30,,2016-10-03
2016-06-30,,,,,,51540,52233,,,,,,,,,,,,,,,,,,,,,,,2016-06-30,,2016-07-01
2016-03-31,,,,,,50054,50561,,,,,,,,,,,,,,,,,,,,,,,2016-03-31,,2016-04-01
2015-12-31,,,,,,43348,42141,,,,,,,,,,,,,,,,,,,,,,,2015-12-31,,2016-01-04
2015-09-30,,,,,,45064,45313,,,,,,,,,,,,,,,,,,,,,,,2015-09-30,,2015-10-01
2015-06-30,,,,,,53080,52757,,,,,,,,,,,,,,,,,,,,,,,2015-06-30,,2015-07-01
2015-03-31,,,,,,51186,52321,,,,,,,,,,,,,,,,,,,,,,,2015-03-31,,2015-04-01
2014-12-31,,,,,,50004,48512,,,,,,,,,,,,,,,,,,,,,,,2014-12-31,,2015-01-02
2014-09-30,,,,,,54115,52858,,,,,,,,,,,,,,,,,,,,,,,2014-09-30,,2014-10-01
2014-06-30,,,,,,53170,53171,,,,,,,,,,,,,,,,,,,,,,,2014-06-30,,2014-07-01
2014-03-31,,,,,,50412,50270,,,,,,,,,,,,,,,,,,,,,,,2014-03-31,,2014-04-01
2013-12-31,,,,,,51522,50341,,,,,,,,,,,,,,,,,,,,,,,2013-12-31,,2014-01-02
2013-09-30,,,,,,52337,53179,,,,,,,,,,,,,,,,,,,,,,,2013-09-30,,2013-10-01
2013-06-30,,,,,,47457,47229,,,,,,,,,,,,,,,,,,,,,,,2013-06-30,,2013-07-01
2013-03-31,,,,,,56348,55902,,,,,,,,,,,,,,,,,,,,,,,2013-03-31,,2013-04-01
2012-12-31,,,,,,60990,62550,,,,,,,,,,,,,,,,,,,,,,,2012-12-31,,2013-01-02
2012-09-30,,,,,,59171,59570,,,,,,,,,,,,,,,,,,,,,,,2012-09-30,,2012-10-01
2012-06-30,,,,,,54355,54692,,,,,,,,,,,,,,,,,,,,,,,2012-06-30,,2012-07-02
2012-03-31,,,,,,64514,65216,,,,,,,,,,,,,,,,,,,,,,,2012-03-31,,2012-04-02
2011-12-31,,,,,,56755,57829,,,,,,,,,,,,,,,,,,,,,,,2011-12-31,,2012-01-02
2011-09-30,,,,,,52319,50791,,,,,,,,,,,,,,,,,,,,,,,2011-09-30,,2011-10-03
2011-06-30,,,,,,62403,63394,,,,,,,,,,,,,,,,,,,,,,,2011-06-30,,2011-07-01
2011-03-31,,,,,,68588,69268,,,,,,,,,,,,,,,,,,,,,,,2011-03-31,,2011-04-01
2010-12-31,,,,,,69309,69962,,,,,,,,,,,,,,,,,,,,,,,2010-12-31,,2011-01-03
2010-09-30,,,,,,69438,70229,,,,,,,,,,,,,,,,,,,,,,,2010-09-30,,2010-10-01
2010-06-30,,,,,,60934,61236,,,,,,,,,,,,,,,,,,,,,,,2010-06-30,,2010-07-01
2010-03-31,,,,,,70374,71136,,,,,,,,,,,,,,,,,,,,,,,2010-03-31,,2010-04-01
2009-12-31,,,,,,68587,70045,,,,,,,,,,,,,,,,,,,,,,,2009-12-31,,2010-01-04
