Year,Feature,OccurrenceCount,NormalizedImportanceMean,F_label
2017,MA50,100,0.02163349939698397,F1
2017,MA5,100,0.020931193559554636,F2
2017,EPS_EarningsSurprise,100,0.017908021917306054,F3
2017,AT_MET,100,0.016557644370524,F4
2017,Divida_Liquida_MET,100,0.016005087499809823,F5
2018,MA5,100,0.026631795603857943,F1
2018,MA50,100,0.021587432411503696,F2
2018,AT_MET,100,0.01666841830012549,F3
2018,MA200,100,0.01663990555005641,F4
2018,Divida_Liquida_MET,100,0.014584637968069263,F5
2019,EPS_EarningsSurprise,100,0.03594884031168156,F1
2019,MA200,100,0.020820162768733903,F2
2019,MA5,100,0.018983904187975752,F3
2019,MA50,100,0.018296435314869856,F4
2019,MOM_12M,100,0.014785878907720653,F5
